Threads,Nodes,Time,Diameter,STATIC
24,500,243.401848,23,
32,500,261.747443,23,
64,500,353.097777,23,
128,500,421.832031,23,
256,500,573.063916,23,
512,500,917.256699,23,
1024,500,1591.228549,23,
1,750,2022.47037,22,
2,750,1012.485979,22,
3,750,681.789018,22,
4,750,508.033291,22,
5,750,415.03095,22,
6,750,343.63936,22,
7,750,297.728559,22,
8,750,262.085274,22,
12,750,552.190721,22,
16,750,567.966798,22,
24,750,599.235434,22,
32,750,710.767694,22,
64,750,782.488664,22,
128,750,983.783832,22,
256,750,1099.403968,22,
512,750,1574.42521,22,
1024,750,2597.034244,22,
1,1000,4821.893307,26,
2,1000,2416.956655,26,
3,1000,1616.932292,26,
4,1000,1212.774114,26,
5,1000,981.4965,26,
6,1000,813.008632,26,
7,1000,703.612311,26,
8,1000,627.585076,26,
12,1000,1056.927135,26,
16,1000,991.942065,26,
24,1000,1141.867095,26,
32,1000,1392.992114,26,
64,1000,1649.486674,26,
128,1000,1839.815418,26,
256,1000,2033.303976,26,
512,1000,2544.070944,26,
1024,1000,3489.907205,26,
1,1250,9442.976833,23,
2,1250,4756.574694,23,
3,1250,3148.533442,23,
4,1250,2393.309663,23,
5,1250,1910.546219,23,
6,1250,1589.131271,23,
7,1250,1369.140166,23,
8,1250,1208.399499,23,
12,1250,1741.657259,23,
16,1250,1670.201857,23,
24,1250,1909.482812,23,
32,1250,2227.959994,23,
64,1250,2701.02392,23,
128,1250,3379.276304,23,
256,1250,3502.387355,23,
512,1250,4060.206809,23,
1024,1250,5456.619207,23,
1,1500,16096.73548,25,
2,1500,8122.029859,25,
3,1500,5399.656102,25,
4,1500,4119.22325,25,
5,1500,3268.700464,25,
6,1500,2743.454153,25,
7,1500,2331.2672,25,
8,1500,2054.82768,25,
12,1500,2855.405856,25,
16,1500,2667.068222,25,
24,1500,2916.307045,25,
32,1500,3274.548512,25,
64,1500,3840.625042,25,
128,1500,4626.275009,25,
256,1500,5319.630202,25,
512,1500,5913.311381,25,
1024,1500,7303.237903,25,
1,2000,37995.17487,28,
2,2000,19035.96371,28,
3,2000,12810.47375,28,
4,2000,9639.667918,28,
5,2000,7737.333762,28,
6,2000,6456.590324,28,
7,2000,5503.192957,28,
8,2000,4851.261573,28,
12,2000,6474.147011,28,
16,2000,5806.28374,28,
24,2000,6440.91644,28,
32,2000,6560.602399,28,
64,2000,7304.189897,28,
128,2000,8577.643287,28,
256,2000,9350.158452,28,
512,2000,10693.34792,28,
1024,2000,12502.62701,28,
1,3000,127962.3352,26,
2,3000,64024.16275,26,
3,3000,42752.28095,26,
4,3000,32091.26798,26,
5,3000,25693.28334,26,
6,3000,21433.97341,26,
7,3000,18404.73706,26,
8,3000,16105.574,26,
12,3000,21572.0932,26,
16,3000,18363.20725,26,
24,3000,20806.74508,26,
32,3000,20464.08725,26,
64,3000,20778.67428,26,
128,3000,22291.27311,26,
256,3000,24358.38894,26,
512,3000,25563.80032,26,
1024,3000,28707.12451,26,
1,5000,599349.6353,27,
2,5000,299772.5197,27,
3,5000,200129.2396,27,
4,5000,150164.3407,27,
5,5000,120248.4536,27,
6,5000,100353.6402,27,
7,5000,86062.18424,27,
8,5000,75348.25095,27,
12,5000,100146.3642,27,
16,5000,82545.27286,27,
24,5000,88700.51156,27,
32,5000,91205.98548,27,
64,5000,91381.97025,27,
128,5000,91941.46138,27,
256,5000,95544.93719,27,
512,5000,98149.2182,27,
1024,5000,103391.555,27,
